country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","11-11-2025 18:00:00",16.9872867,81.7363176,PM10,105,154,128
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","11-11-2025 18:00:00",16.9872867,81.7363176,SO2,7,31,15
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","11-11-2025 18:00:00",13.615387,79.409230,NH3,4,4,4
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","11-11-2025 18:00:00",13.615387,79.409230,CO,18,33,26
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","11-11-2025 18:00:00",16.536107,80.594233,NO2,18,21,20
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","11-11-2025 18:00:00",26.071318,91.87488,SO2,6,18,8
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","11-11-2025 18:00:00",26.071318,91.87488,OZONE,17,53,31
India,Assam,Guwahati,"IITG, Guwahati - PCBA","11-11-2025 18:00:00",26.2028636,91.70046436,PM2.5,33,113,65
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","11-11-2025 18:00:00",26.10887,91.589544,PM2.5,25,77,50
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","11-11-2025 18:00:00",26.10887,91.589544,NH3,6,6,6
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","11-11-2025 18:00:00",26.187500,91.744194,SO2,40,77,57
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","11-11-2025 18:00:00",26.181742,91.78063,NO2,3,3,3
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","11-11-2025 18:00:00",16.554731,80.649110,OZONE,66,148,99
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","11-11-2025 18:00:00",17.72,83.3,NO2,13,138,44
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","11-11-2025 18:00:00",17.72,83.3,SO2,12,34,24
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","11-11-2025 18:00:00",17.72,83.3,CO,3,48,18
